text,label
فتاح,فتح
افتح,فتح
افتحها,فتح
افتح الساعد,فتح
افتح الكف,فتح
افتح كف,فتح
بسط الكف,فتح
ابسط الكف,فتح
الرجاء بسط الكف,فتح
الرجاء ابسط الكف,فتح
الرجاء فتح,فتح
رجاء فتح,فتح
رجاء بسط الكف,فتح
رجاء افتح الكف,فتح
فتح,فتح
رجاء افتح الساعد,فتح
رجاء افتح الكف,فتح
رجاء فتح الكف,فتح
الرجاء قم بفتح,فتح
رجاء قم بفتح,فتح
الرجاء افتح,فتح
رجاء افتح,فتح
رجاء افتح الاصابع,فتح
الرجاء افتح الاصابع,فتح
الرجاء افتح الأصابع,فتح
الرجاء فتح الأصابع,فتح
رجاء فتح الأصابع,فتح
افتح الأصابع,فتح
يرجى فتح اليد,فتح
فتح اليد,فتح
افتح اليد,فتح
رجاء فتح,فتح
رجاء اغلق,غلق
الرجاء اغلاق الساعد,غلق
الرجاء الاغلاق,غلق
الرجاء اغلاق,غلق
اقبض الكف,غلق
قبض الكف,غلق
الرجاء اغلاق الكف,غلق
سكر,غلق
الرجاء تسكير الكف,غلق
الرجاء اقبض الكف,غلق
الرجاء اغلاق الأصابع,غلق
الرجاء اغلق الاصابع,غلق
الرجاء اغلق الأصابع,غلق
الرجاء غلق الاصابع,غلق
الرجاء غلق الأصابع,غلق
الرجاء اغلق الكف,غلق
الرجاء اغلق,غلق
رجاء غلق,غلق
رجاء قبض,غلق
الرجاء قبض,غلق
الرجاء قبض الكف,غلق
اقبض كف,غلق
قبض كف,غلق
اغلق الكف,غلق
اغلاق الساعد,غلق
اغلاق,غلق
اغلق,غلق
غلق الاصابع,غلق
غلق الأصابع,غلق
قبض,غلق
غلق الكف,غلق
غلق اليد,غلق
اغلاق اليد,غلق
غلق,غلق
الرجاء اغلاق اليد,غلق
سكر الابهام,غلق الابهام
اغلاق الابهام,غلق الابهام
الرجاء اغلق الابهام,غلق الابهام
الرجاء اغلاق الابهام,غلق الابهام
غلق الابهام,غلق الابهام
رجاء اغلق الابهام,غلق الابهام
الرجاء غلق الابهام,غلق الابهام
اغلق الابهام,غلق الابهام
رجاء اغلاق الابهام,غلق الابهام
قم باغلاق الابهام,غلق الابهام
الرجاء قم باغلاق الابهام,غلق الابهام
قم بغلق الابهام,غلق الابهام
رجاء قم باغلاق الابهام,غلق الابهام
فتح باهم,فتح الابهام
اوكي,فتح الابهام
تمام,فتح الابهام
فتاح الابهام,فتح الابهام
فتح الابهام,فتح الابهام
الرجاء فتح الابهام,فتح الابهام
رجاء قم بفتح الابهام,فتح الابهام
قم بفتح الابهام,فتح الابهام
الرجاء افتح الابهام,فتح الابهام
رجاء افتح الابهام,فتح الابهام
الرجاء قم بفتح الابهام,فتح الابهام
رجاء قم بفتح الابهام,فتح الابهام
افتح الابهام,فتح الابهام
فتاح الابهام,فتح الابهام
فتح ابهام,فتح الابهام
سكر السبابة,غلق السبابة
اغلاق السبابة,غلق السبابة
الرجاء اغلق السبابة,غلق السبابة
الرجاء اغلاق السبابة,غلق السبابة
غلق السبابة,غلق السبابة
رجاء اغلق السبابة,غلق السبابة
الرجاء غلق السبابة,غلق السبابة
اغلق السبابة,غلق السبابة
رجاء اغلاق السبابة,غلق السبابة
قم باغلاق السبابة,غلق السبابة
الرجاء قم باغلاق السبابة,غلق السبابة
قم بغلق السبابة,غلق السبابة
رجاء قم باغلاق السبابة,غلق السبابة
فتاح السبابة,فتح السبابة
افتح السبابة,فتح السبابة
الرجاء فتح السبابة,فتح السبابة
الرجاء افتح السبابة,فتح السبابة
فتح السبابة,فتح السبابة
رجاء افتح السبابة,فتح السبابة
الرجاء فتح السبابة,فتح السبابة
فتح السبابة,فتح السبابة
رجاء افتح السبابة,فتح السبابة
قم بفتح السبابة,فتح السبابة
الرجاء قم بفتح السبابة,فتح السبابة
قم بفتح السبابة,فتح السبابة
فتاح السبابة,فتح السبابة
رجاء قم بفتح السبابة,فتح السبابة
سكر الوسطى,غلق الوسطى
اغلاق الوسطى,غلق الوسطى
الرجاء اغلق الوسطى,غلق الوسطى
الرجاء اغلاق الوسطى,غلق الوسطى
غلق الوسطى,غلق الوسطى
رجاء اغلق الوسطى,غلق الوسطى
الرجاء غلق الوسطى,غلق الوسطى
اغلق الوسطى,غلق الوسطى
رجاء اغلاق الوسطى,غلق الوسطى
قم باغلاق الوسطى,غلق الوسطى
الرجاء قم باغلاق الوسطى,غلق الوسطى
قم بغلق الوسطى,غلق الوسطى
رجاء قم باغلاق الوسطى,غلق الوسطى
فتاح الوسطى,فتح الوسطى
فتح الوسطى,فتح الوسطى
الرجاء افتح الوسطى,فتح الوسطى
الرجاء فتح الوسطى,فتح الوسطى
افتح الوسطى,فتح الوسطى
رجاء افتح الوسطى,فتح الوسطى
الرجاء فتح الوسطى,فتح الوسطى
افتح الوسطى,فتح الوسطى
رجاء فتح الوسطى,فتح الوسطى
قم بفتح الوسطى,فتح الوسطى
الرجاء قم بفتح الوسطى,فتح الوسطى
قم بفتح الوسطى,فتح الوسطى
فتاح الوسطى,فتح الوسطى
رجاء قم بفتح الوسطى,فتح الوسطى
سكر البنصر,غلق البنصر
اغلاق البنصر,غلق البنصر
الرجاء اغلق البنصر,غلق البنصر
الرجاء اغلاق البنصر,غلق البنصر
غلق البنصر,غلق البنصر
رجاء اغلق البنصر,غلق البنصر
الرجاء غلق البنصر,غلق البنصر
اغلق البنصر,غلق البنصر
رجاء اغلاق البنصر,غلق البنصر
قم باغلاق البنصر,غلق البنصر
الرجاء قم باغلاق البنصر,غلق البنصر
قم بغلق البنصر,غلق البنصر
رجاء قم باغلاق البنصر,غلق البنصر
فتح البنصر,فتح البنصر
الرجاء افتح البنصر,فتح البنصر
الرجاء فتح البنصر,فتح البنصر
افتح البنصر,فتح البنصر
رجاء افتح البنصر,فتح البنصر
الرجاء فتح البنصر,فتح البنصر
افتح البنصر,فتح البنصر
رجاء فتح البنصر,فتح البنصر
قم بفتح البنصر,فتح البنصر
الرجاء قم بفتح البنصر,فتح البنصر
قم بفتح البنصر,فتح البنصر
فتاح البنصر,فتح البنصر
رجاء قم بفتح البنصر,فتح البنصر
سكر الخنصر,غلق الخنصر
اغلاق الخنصر,غلق الخنصر
الرجاء اغلق الخنصر,غلق الخنصر
الرجاء اغلاق الخنصر,غلق الخنصر
غلق الخنصر,غلق الخنصر
رجاء اغلق الخنصر,غلق الخنصر
الرجاء غلق الخنصر,غلق الخنصر
اغلق الخنصر,غلق الخنصر
رجاء اغلاق الخنصر,غلق الخنصر
قم باغلاق الخنصر,غلق الخنصر
الرجاء قم باغلاق الخنصر,غلق الخنصر
قم بغلق الخنصر,غلق الخنصر
الرجاء افتح الخنصر,فتح خنصر
الرجاء فتح الخنصر,فتح خنصر
فتح الخنصر,فتح خنصر
رجاء افتح الخنصر,فتح خنصر
الرجاء فتح الخنصر,فتح خنصر
افتح الخنصر,فتح خنصر
فتح خنصر,فتح خنصر
رجاء فتح الخنصر,فتح خنصر
قم بفتح الخنصر,فتح خنصر
الرجاء قم بفتح الخنصر,فتح خنصر
قم بفتح الخنصر,فتح خنصر
فتاح الخنصر,فتح خنصر
رجاء مسيك قلم,قلم
مسيك قلم,قلم
قلم,قلم
مسك قلم,قلم
امسك قلم,قلم
رجاء قم بمسك القلم,قلم
مسيك القلم,قلم
رجاء مسيك القلم,قلم
الرجاء مسيك القلم,قلم
امسك القلم ,قلم
الرجاء قم بمسك القلم,قلم
الرجاء مسك القلم,قلم
مسك القلم,قلم
يرجى مسك القلم,قلم
افتح سبابة و وسطى,سلام
افتح سبابة ووسطى,سلام
افتح السبابة والوسطى,سلام
"افتح السبابه و الوسطى
",سلام
فتح السبابة و الوسطى,سلام
"افتح السبابه والوسطى
",سلام
فتح السبابة و الوسطى,سلام
فتح السبابة والوسطى,سلام
فتح السبابه و الوسطى,سلام
فتح السبابه والوسطى,سلام
الرجاء فتح السبابة والوسطى,سلام
الرجاء افتح السبابة والوسطى,سلام
الرجاء قم بفتح السبابة والوسطى,سلام
فتاح السبابة و الوسطى,سلام
فتاح السبابه و الوسطى,سلام
فتاح السبابة والوسطى,سلام
قم بفتح السبابة والوسطى,سلام
سلام,سلام
سلم ,سلام
قم بفتح السبابة و الوسطى,سلام
افتح السبابة والوسطى والبنصر,ثلاث اصابع
"افتح السبابه و الوسطى و البنصر
",ثلاث اصابع
فتح السبابة و الوسطى والبنصر,ثلاث اصابع
"افتح السبابه والوسطى و البنصر
",ثلاث اصابع
فتح السبابه والوسطى والبنصر,ثلاث اصابع
فتاح السبابة و الوسطى و البنصر,ثلاث اصابع
فتاح السبابة والوسطى والبنصر,ثلاث اصابع
فتاح السبابه والوسطى والبنصر,ثلاث اصابع
فتح السبابه و الوسطى و البنصر,ثلاث اصابع
الرجاء فتح السبابة والوسطى والبنصر,ثلاث اصابع
الرجاء افتح السبابة والوسطى والبنصر,ثلاث اصابع
الرجاء قم بفتح السبابة والوسطى والبنصر,ثلاث اصابع
فتاح السبابة والوسطى والبنصر,ثلاث اصابع
قم بفتح السبابة والوسطى والبنصر,ثلاث اصابع
قم بفتح السبابة و الوسطى و البنصر,ثلاث اصابع
فتاح السبابة والوسطى والبنصر,ثلاث اصابع
فتاح السبابة و الوسطى و البنصر,ثلاث اصابع
يرجى فتح السبابة والوسطى و البنصر,ثلاث اصابع
يرجى فتح السبابةوالوسطى والبنصر,ثلاث اصابع
يرجى فتح السبابة والوسطى و البنصر,ثلاث اصابع
ثلاث اصابع,ثلاث اصابع